merchant_id,vintage_days,mcc,lob,business_type,state,city_tier,kyb_score,gst_registered,pan_verified,monthly_txn_volume_inr,monthly_txn_count,avg_ticket_size_inr,txn_velocity,dispute_rate,chargeback_count_90d,refund_rate,settlement_delay_days,rbi_flags_count,aml_alerts_30d,days_since_last_txn,active_devices,p2p_ratio,risk_label,churn_label
MID01000011,588,5814,QSR & Food Delivery,Proprietorship,Rajasthan,3,0.9983,0,1,185270.33,216,855.81,7.2,0.00258,1,0.00565,0.47,0,0,0,5,0.099,0,0
MID01000012,288,4900,Utilities,Proprietorship,Bihar,2,0.9273,0,1,6919.82,17,396.51,0.567,0.05345,0,0.07475,3.83,1,1,2,2,0.2706,2,1
MID01000013,834,4900,Utilities,Proprietorship,Delhi,3,0.4949,1,1,41232.39,179,230.12,5.967,0.00903,3,0.01199,1.16,0,0,0,3,0.047,0,0
MID01000014,431,5734,SaaS & Digital Goods,Partnership,Maharashtra,1,0.5411,1,1,94759.98,296,319.23,9.867,0.00903,4,0.05262,1.18,0,0,1,1,0.4717,0,1
MID01000015,23,5499,FMCG Retail,Partnership,Maharashtra,1,0.4343,0,1,56141.13,495,113.3,16.5,0.01461,14,0.02143,1.88,0,0,19,2,0.1473,0,1
MID01000016,391,5814,QSR & Food Delivery,Public Ltd,Rajasthan,3,0.8864,0,1,32863.69,69,470.18,2.3,0.00423,1,0.00293,0.33,0,0,1,1,0.0922,0,1
MID01000017,8,5651,Apparel,Proprietorship,Telangana,1,0.6218,0,0,16992.35,55,306.92,1.833,0.01421,2,0.01374,1.03,0,0,0,1,0.4076,1,0
MID01000018,650,4121,Mobility & Ride-hailing,Partnership,Uttar Pradesh,1,0.7492,1,0,49193.04,75,651.77,2.5,0.00357,0,0.02604,1.9,0,0,6,1,0.3484,0,1
MID01000019,257,5732,Electronics Retail,Proprietorship,Bihar,2,0.7995,1,1,157763.42,470,335.48,15.667,0.01563,24,0.03783,0.96,0,0,0,3,0.1539,0,1
MID01000020,25,7011,Travel & Hospitality,Pvt Ltd,Karnataka,2,0.6701,0,1,13048.55,31,416.53,1.033,0.07174,6,0.04839,0.21,0,2,13,1,0.1787,2,0
MID01000021,26,5499,FMCG Retail,Partnership,Tamil Nadu,1,0.7041,1,1,2484.15,9,267.8,0.3,0.01308,0,0.02273,1.33,0,0,0,1,0.4204,0,1
MID01000022,918,5411,Grocery & Kirana,Proprietorship,Delhi,1,0.8196,0,0,132807.7,413,320.81,13.767,0.00535,6,0.08099,1.76,0,0,4,3,0.0336,2,0
MID01000023,231,5499,FMCG Retail,Pvt Ltd,Uttar Pradesh,1,0.5683,1,1,391310.95,2681,145.94,89.367,0.00923,39,0.01211,1.6,0,0,3,4,0.216,0,0
MID01000024,176,4121,Mobility & Ride-hailing,Proprietorship,Punjab,1,0.7586,1,1,13612.63,13,1021.47,0.433,0.01154,0,0.03863,1.6,0,0,8,1,0.2089,0,0
MID01000025,190,8398,NGO & Donations,Proprietorship,Tamil Nadu,1,0.7592,1,1,317255.3,816,388.57,27.2,0.00273,7,0.0071,0.87,0,0,5,2,0.3891,0,0
MID01000026,460,5732,Electronics Retail,Proprietorship,Karnataka,2,0.9494,1,1,97295.61,1444,67.34,48.133,0.00705,18,0.00957,0.56,0,0,0,1,0.1686,0,0
MID01000027,389,5499,FMCG Retail,Proprietorship,Karnataka,2,0.8401,0,1,10657.93,110,96.85,3.667,0.0007,0,0.02077,1.64,0,0,3,4,0.5593,0,0
MID01000028,408,5651,Apparel,Pvt Ltd,Madhya Pradesh,1,0.8502,1,1,24868.45,24,1026.38,0.8,0.00295,1,0.0075,1.22,0,0,2,2,0.4975,0,0
MID01000029,416,5499,FMCG Retail,Pvt Ltd,Maharashtra,1,0.6155,1,1,23577.0,60,388.03,2.0,0.05913,5,0.03793,2.93,0,1,3,1,0.149,1,0
MID01000030,2302,5411,Grocery & Kirana,Pvt Ltd,Kerala,2,0.6198,1,0,84153.39,212,396.26,7.067,0.00733,0,0.01955,0.85,0,0,1,3,0.2695,1,1
MID01000031,180,8211,Education,Pvt Ltd,Rajasthan,1,0.6336,0,1,42341.17,105,402.45,3.5,0.02065,5,0.01857,1.29,0,0,3,3,0.3243,0,1
MID01000032,162,8211,Education,Pvt Ltd,Karnataka,1,0.8935,0,1,221570.97,354,625.55,11.8,0.01832,18,0.02668,1.41,0,0,0,2,0.3242,0,1
MID01000033,119,5499,FMCG Retail,Proprietorship,Rajasthan,1,0.86,0,1,150954.44,94,1599.63,3.133,0.01264,2,0.07749,0.71,0,0,3,2,0.1312,1,1
MID01000034,500,5499,FMCG Retail,Proprietorship,Telangana,2,0.607,1,1,6737.6,11,602.21,0.367,0.00835,0,0.06421,1.21,0,0,1,1,0.1563,0,1
MID01000035,836,5411,Grocery & Kirana,Proprietorship,West Bengal,1,0.6972,1,1,11247.36,21,531.99,0.7,0.00787,2,0.03309,0.0,0,0,6,1,0.2104,0,0
MID01000036,241,5499,FMCG Retail,LLP,Tamil Nadu,1,0.7849,1,1,125334.95,519,241.25,17.3,0.02208,18,0.03192,1.67,0,0,3,2,0.1739,0,0
MID01000037,116,5732,Electronics Retail,LLP,Punjab,2,0.6547,1,1,19859.12,197,100.65,6.567,0.01262,3,0.03383,1.42,0,1,1,1,0.337,2,0
MID01000038,118,4900,Utilities,Pvt Ltd,Haryana,3,0.967,1,1,24145.77,39,618.33,1.3,0.00366,0,0.00526,1.34,0,0,5,1,0.0243,0,0
MID01000039,518,5411,Grocery & Kirana,Proprietorship,Maharashtra,2,0.5973,1,1,102902.94,154,664.96,5.133,0.03537,18,0.03745,0.96,0,0,3,1,0.3879,0,0
MID01000040,568,4900,Utilities,Proprietorship,West Bengal,3,0.6629,1,1,122331.93,112,1085.39,3.733,0.02332,4,0.01764,2.4,0,0,8,1,0.3406,0,1
MID01000041,465,5814,QSR & Food Delivery,Pvt Ltd,Kerala,2,0.5778,1,1,9969.37,5,1883.57,0.167,0.01718,0,0.01037,0.79,0,0,2,1,0.1886,0,1
MID01000042,139,4814,Telecom & Recharge,Proprietorship,Maharashtra,1,0.7394,1,1,2857.34,20,142.04,0.667,0.00384,1,0.01937,0.0,0,0,0,1,0.1374,0,0
MID01000043,341,4121,Mobility & Ride-hailing,Partnership,Punjab,1,0.8976,1,1,51839.64,223,232.15,7.433,0.01644,6,0.03898,0.84,0,0,0,1,0.404,0,1
MID01000044,303,5812,Food & Restaurants,Proprietorship,Rajasthan,1,0.382,1,1,19343.17,26,736.15,0.867,0.02123,1,0.02867,0.21,0,0,3,6,0.1809,1,1
MID01000045,336,5732,Electronics Retail,Proprietorship,Telangana,1,0.7958,1,1,65278.16,161,403.86,5.367,0.00769,1,0.01508,0.0,0,0,14,2,0.2321,0,1
MID01000046,646,7299,Personal Services,Partnership,West Bengal,1,0.8129,0,1,60343.26,40,1478.9,1.333,0.03434,1,0.03448,2.66,0,0,3,1,0.2071,0,0
MID01000047,338,4121,Mobility & Ride-hailing,LLP,Punjab,1,0.8619,1,1,16870.86,49,338.92,1.633,0.00221,0,0.01268,0.7,1,0,8,2,0.1612,2,1
MID01000048,533,5411,Grocery & Kirana,Pvt Ltd,Kerala,2,0.8585,1,1,766307.48,313,2442.81,10.433,0.01941,13,0.05679,2.09,0,0,5,1,0.0787,0,0
MID01000049,289,5732,Electronics Retail,Proprietorship,Haryana,2,0.9436,1,1,46392.84,109,424.28,3.633,0.01722,7,0.03562,1.49,0,0,4,1,0.0907,0,0
MID01000050,361,5814,QSR & Food Delivery,Proprietorship,Maharashtra,1,0.6148,1,1,28785.31,16,1745.68,0.533,0.00762,0,0.01782,2.13,0,0,1,2,0.2981,0,0
MID01000051,508,4121,Mobility & Ride-hailing,Pvt Ltd,Haryana,2,0.7716,1,1,57480.22,1243,46.24,41.433,0.00587,13,0.01401,0.48,0,0,5,1,0.3596,0,0
MID01000052,62,4121,Mobility & Ride-hailing,Partnership,Maharashtra,1,0.8104,1,1,90486.89,144,624.98,4.8,0.01001,6,0.01629,2.87,0,0,10,2,0.1997,0,1
MID01000053,196,5411,Grocery & Kirana,Proprietorship,Kerala,2,0.6518,1,1,18612.1,45,411.98,1.5,0.00938,0,0.04115,0.36,0,0,11,3,0.2088,0,1
MID01000054,168,4121,Mobility & Ride-hailing,Partnership,Gujarat,2,0.5275,1,1,842178.19,13739,61.3,457.967,0.00541,135,0.01182,1.34,0,0,2,1,0.0981,1,0
MID01000055,142,6300,Insurance,Proprietorship,Maharashtra,1,0.8408,1,1,7114.58,17,397.91,0.567,0.01184,0,0.01953,0.85,0,0,1,3,0.1775,0,1
MID01000056,205,7011,Travel & Hospitality,Proprietorship,Punjab,1,0.7867,0,1,8289.13,62,132.43,2.067,0.02735,2,0.01851,2.11,0,0,1,3,0.277,0,1
MID01000057,1205,5411,Grocery & Kirana,Pvt Ltd,Rajasthan,3,0.6281,0,1,5792.92,22,252.73,0.733,0.00031,0,0.0122,1.62,0,0,1,2,0.0262,1,1
MID01000058,113,5814,QSR & Food Delivery,Partnership,Kerala,2,0.8737,0,1,38847.07,73,530.95,2.433,0.01796,2,0.02133,0.0,0,0,9,2,0.2467,1,0
MID01000059,712,5732,Electronics Retail,Proprietorship,Gujarat,2,0.7422,1,0,99356.7,275,361.19,9.167,0.03597,13,0.03316,0.99,0,0,8,2,0.0655,1,1
MID01000060,50,5812,Food & Restaurants,Proprietorship,Telangana,1,0.7179,1,1,28755.1,51,555.95,1.7,0.00561,2,0.00896,2.27,0,0,4,2,0.1013,0,1
MID01000061,193,5732,Electronics Retail,Public Ltd,Kerala,1,0.9022,1,1,99923.75,215,464.73,7.167,0.03078,10,0.0445,0.59,0,0,4,1,0.315,0,1
MID01000062,318,5411,Grocery & Kirana,Partnership,Delhi,1,0.7212,0,1,107336.64,31,3357.46,1.033,0.02714,0,0.0278,0.92,1,0,8,3,0.0957,2,0
MID01000063,486,5411,Grocery & Kirana,Partnership,Madhya Pradesh,3,0.7327,1,1,24342.75,47,509.45,1.567,0.00646,1,0.03486,1.17,0,0,1,1,0.1191,0,1
MID01000064,550,4814,Telecom & Recharge,Proprietorship,Punjab,1,0.5223,1,1,114460.92,256,446.42,8.533,0.00339,2,0.01508,0.86,0,0,1,2,0.2968,0,0
MID01000065,597,5814,QSR & Food Delivery,LLP,Bihar,1,0.7098,1,1,51666.76,87,589.23,2.9,0.01743,5,0.02109,2.18,0,0,3,2,0.336,0,0
MID01000066,190,4900,Utilities,Pvt Ltd,Maharashtra,3,0.8223,1,1,19278.68,48,394.01,1.6,0.00969,0,0.03306,0.68,0,0,0,1,0.2463,0,0
MID01000067,170,5411,Grocery & Kirana,Proprietorship,Rajasthan,2,0.9053,1,0,21619.74,222,96.97,7.4,0.01292,10,0.0177,1.24,0,0,0,1,0.0837,0,1
MID01000068,637,5499,FMCG Retail,Proprietorship,Rajasthan,1,0.6341,1,1,91425.25,121,751.94,4.033,0.01472,8,0.02014,1.83,0,0,3,1,0.102,0,1
MID01000069,223,5912,Pharmacy,Partnership,Madhya Pradesh,2,0.7213,1,1,210990.19,163,1289.02,5.433,0.01019,1,0.02712,1.44,0,0,10,1,0.2483,0,0
MID01000070,75,7011,Travel & Hospitality,Pvt Ltd,Uttar Pradesh,2,0.9432,0,1,7585.64,4,1635.51,0.133,0.01806,0,0.02116,1.88,0,0,2,1,0.2603,0,1
MID01000071,87,7011,Travel & Hospitality,Pvt Ltd,Bihar,3,0.6726,1,1,15487.78,20,750.27,0.667,0.04762,1,0.07598,0.9,0,2,0,3,0.2118,2,1
MID01000072,107,5912,Pharmacy,Public Ltd,Delhi,1,0.6246,1,1,60792.59,191,316.72,6.367,0.01782,6,0.0477,0.82,0,0,12,2,0.2895,1,1
MID01000073,444,4121,Mobility & Ride-hailing,Partnership,Madhya Pradesh,2,0.5713,1,1,482106.18,943,511.14,31.433,0.02284,32,0.04875,1.33,0,0,7,3,0.1605,1,0
MID01000074,311,5812,Food & Restaurants,Proprietorship,West Bengal,1,0.6722,1,1,103500.98,51,2013.7,1.7,0.01159,0,0.01811,1.11,0,0,7,1,0.2358,0,0
MID01000075,539,5499,FMCG Retail,Proprietorship,Bihar,3,0.8162,1,1,13794.43,41,329.78,1.367,0.00324,0,0.01285,1.26,0,0,3,2,0.6436,0,1
MID01000076,176,5411,Grocery & Kirana,Pvt Ltd,Delhi,3,0.5451,1,0,9742.65,70,137.81,2.333,0.05291,6,0.0367,3.24,0,0,6,1,0.0401,1,1
MID01000077,316,5732,Electronics Retail,Proprietorship,Delhi,3,0.5969,1,1,129271.73,43,2946.62,1.433,0.01641,2,0.08602,1.46,0,0,2,2,0.0308,0,1
MID01000078,505,5812,Food & Restaurants,Proprietorship,Rajasthan,3,0.7585,1,1,26068.75,161,161.37,5.367,0.00629,6,0.0254,1.34,0,0,6,1,0.273,0,1
MID01000079,198,8011,Healthcare,Partnership,Rajasthan,2,0.8037,1,1,8565.06,87,98.04,2.9,0.01025,1,0.0088,1.66,0,0,3,1,0.0655,0,0
MID01000080,426,5732,Electronics Retail,Proprietorship,Tamil Nadu,1,0.8013,1,1,233795.64,434,537.66,14.467,0.02657,24,0.05804,0.93,0,0,0,3,0.0544,1,0
MID01000081,16,5499,FMCG Retail,Pvt Ltd,Kerala,1,0.5581,1,1,59049.35,101,582.83,3.367,0.00038,0,0.02051,1.77,0,0,7,2,0.1701,0,1
MID01000082,188,5912,Pharmacy,Proprietorship,Uttar Pradesh,1,0.9981,0,1,11433.1,18,609.26,0.6,0.0083,2,0.05262,0.92,0,0,0,1,0.1572,0,1
MID01000083,184,5814,QSR & Food Delivery,Proprietorship,Tamil Nadu,2,0.8358,1,0,7335.86,8,889.29,0.267,0.01035,0,0.0237,3.0,0,0,4,1,0.0769,0,0
MID01000084,81,5812,Food & Restaurants,Proprietorship,West Bengal,1,0.8991,0,1,2817.87,8,348.8,0.267,0.01566,0,0.01379,2.17,0,0,2,5,0.354,0,1
MID01000085,440,8211,Education,Partnership,Punjab,2,0.5558,1,0,21833.85,61,353.35,2.033,0.00964,2,0.0114,2.64,0,0,6,1,0.0685,0,1
MID01000086,169,7011,Travel & Hospitality,Pvt Ltd,Maharashtra,2,0.5947,1,1,61351.49,254,240.84,8.467,0.00692,5,0.01663,1.18,1,0,11,4,0.0201,2,1
MID01000087,273,5411,Grocery & Kirana,Proprietorship,Odisha,3,0.6547,1,1,121932.98,267,456.29,8.9,0.00632,5,0.025,0.5,0,0,10,5,0.1008,0,1
MID01000088,437,6300,Insurance,Proprietorship,Kerala,1,0.7773,0,1,109256.37,166,657.03,5.533,0.03084,10,0.02658,0.0,0,0,9,2,0.2889,1,1
MID01000089,422,5732,Electronics Retail,Proprietorship,Delhi,2,0.7656,1,1,8921.51,9,912.42,0.3,0.00393,0,0.02279,0.37,0,0,6,4,0.5306,0,1
MID01000090,526,5411,Grocery & Kirana,Partnership,Haryana,2,0.8725,1,1,35069.83,195,179.82,6.5,0.00269,1,0.02488,1.28,0,0,3,3,0.2261,0,1
MID01000091,8,5499,FMCG Retail,Public Ltd,Madhya Pradesh,3,0.5475,1,1,148073.73,1126,131.42,37.533,0.00033,1,0.01173,2.35,0,0,5,3,0.4413,0,0
MID01000092,177,5411,Grocery & Kirana,Pvt Ltd,Bihar,2,0.8991,1,1,21387.6,23,894.7,0.767,0.00674,0,0.01479,0.74,0,0,5,1,0.2113,0,0
MID01000093,249,5812,Food & Restaurants,Proprietorship,Haryana,1,0.8816,1,1,154127.3,615,250.61,20.5,0.00533,8,0.02309,0.86,1,0,1,3,0.1946,1,0
MID01000094,50,4900,Utilities,Partnership,Delhi,1,0.6854,1,1,102244.02,615,166.23,20.5,0.01453,17,0.01337,1.75,0,0,9,1,0.1165,0,1
MID01000095,63,5814,QSR & Food Delivery,Proprietorship,Tamil Nadu,3,1.0,1,1,74164.62,971,76.32,32.367,0.00454,12,0.02506,0.0,0,0,15,1,0.3661,0,0
MID01000096,28,8211,Education,Proprietorship,Delhi,2,0.2794,0,1,56522.97,39,1431.75,1.3,0.0388,3,0.04001,1.82,0,0,3,5,0.0287,1,1
MID01000097,99,4814,Telecom & Recharge,Proprietorship,Odisha,3,0.7672,1,1,78863.77,152,517.03,5.067,0.00383,5,0.01322,2.14,0,0,4,5,0.0836,0,0
MID01000098,403,7299,Personal Services,Proprietorship,Telangana,2,0.4895,1,1,7029.63,10,659.14,0.333,0.05968,1,0.03594,4.55,0,1,13,2,0.2689,0,0
MID01000099,109,4121,Mobility & Ride-hailing,Proprietorship,Telangana,2,0.9471,0,1,275566.7,460,598.05,15.333,0.00806,10,0.01173,1.37,0,0,14,2,0.3737,0,0
MID01000100,185,8011,Healthcare,Pvt Ltd,Odisha,2,0.67,1,1,4005.15,8,488.47,0.267,0.00998,0,0.02178,1.23,0,0,2,5,0.1454,1,0
MID01000101,991,5912,Pharmacy,Proprietorship,Delhi,3,0.9757,1,1,66890.77,169,395.09,5.633,0.01061,2,0.02579,1.57,0,0,4,1,0.0464,0,0
MID01000102,189,5499,FMCG Retail,Pvt Ltd,Uttar Pradesh,3,0.462,1,1,30778.94,81,378.7,2.7,0.00772,0,0.02533,1.92,0,0,6,1,0.2516,0,1
MID01000103,565,5651,Apparel,LLP,Telangana,1,0.8533,1,1,29265.09,174,167.47,5.8,0.0087,2,0.07478,2.03,0,0,3,1,0.1153,1,1
MID01000104,106,8211,Education,Partnership,Telangana,1,0.9312,1,0,13829.83,167,82.36,5.567,0.00736,1,0.01085,1.27,0,0,1,5,0.1427,0,0
MID01000105,220,5812,Food & Restaurants,Proprietorship,Rajasthan,1,0.7766,0,1,113405.74,37,3044.42,1.233,0.0054,0,0.01977,0.79,0,0,16,1,0.2814,0,0
MID01000106,104,5499,FMCG Retail,Pvt Ltd,Haryana,1,0.7297,1,1,138838.68,332,417.46,11.067,0.00085,0,0.06448,0.53,0,0,0,2,0.2225,0,1
MID01000107,192,6300,Insurance,Proprietorship,Delhi,3,0.9243,1,1,28747.3,105,272.11,3.5,0.00426,0,0.00794,1.53,0,0,18,3,0.1907,0,1
MID01000108,626,5912,Pharmacy,Proprietorship,Maharashtra,3,0.862,1,0,28028.26,142,196.2,4.733,0.00708,2,0.01078,1.54,0,0,1,3,0.2386,0,1
MID01000109,22,8011,Healthcare,Proprietorship,Kerala,1,0.3333,1,1,214457.19,206,1037.56,6.867,0.04161,13,0.03776,0.67,0,0,4,1,0.0395,1,1
MID01000110,417,5912,Pharmacy,Pvt Ltd,Rajasthan,1,0.8041,1,1,36027.98,78,459.55,2.6,0.0017,0,0.02219,1.15,0,0,4,1,0.0266,0,0
MID01000111,343,5812,Food & Restaurants,Pvt Ltd,Kerala,2,0.7991,1,1,44322.15,238,185.48,7.933,0.0048,4,0.05131,3.1,0,0,3,1,0.0249,0,1
MID01000112,149,5499,FMCG Retail,Pvt Ltd,Uttar Pradesh,3,0.5762,1,1,24162.3,78,306.98,2.6,0.0106,1,0.01354,2.34,0,0,0,1,0.4043,0,1
MID01000113,63,5732,Electronics Retail,Partnership,Haryana,2,0.7092,1,0,880558.72,1649,533.88,54.967,0.00404,18,0.0165,2.82,0,0,2,1,0.0751,0,1
MID01000114,290,5411,Grocery & Kirana,Proprietorship,Kerala,1,0.8908,1,1,19564.15,68,284.87,2.267,0.02177,3,0.02156,1.85,0,0,9,2,0.3379,1,1
MID01000115,159,5411,Grocery & Kirana,Pvt Ltd,Haryana,1,0.8163,1,1,154657.55,184,840.14,6.133,0.01848,8,0.01198,2.44,0,0,4,1,0.1448,0,1
MID01000116,341,5812,Food & Restaurants,Pvt Ltd,Punjab,2,0.6558,0,1,5135.05,1,2728.98,0.033,5e-05,0,0.00245,0.67,0,0,3,3,0.0389,0,0
MID01000117,276,7011,Travel & Hospitality,Proprietorship,West Bengal,2,0.7823,1,1,12954.17,46,275.95,1.533,0.02943,5,0.07316,2.12,0,1,9,1,0.4735,2,1
MID01000118,1341,8211,Education,Public Ltd,Telangana,3,0.6106,0,1,31648.5,101,312.17,3.367,0.01248,4,0.04348,1.58,0,0,2,1,0.326,0,1
MID01000119,212,5499,FMCG Retail,Pvt Ltd,Rajasthan,3,0.5911,1,1,28206.33,147,191.15,4.9,0.00634,1,0.02747,2.08,0,0,0,7,0.3216,0,0
MID01000120,97,5411,Grocery & Kirana,Proprietorship,Kerala,1,1.0,1,1,33923.01,96,351.37,3.2,0.0487,14,0.0345,1.29,0,0,2,2,0.0783,0,1
MID01000121,323,5499,FMCG Retail,Proprietorship,Rajasthan,1,0.4245,0,1,52251.45,756,69.11,25.2,0.01248,26,0.01876,0.32,0,0,6,2,0.5513,1,0
MID01000122,336,7995,Gambling (Prohibited),Proprietorship,West Bengal,1,0.5228,1,1,24454.06,22,1085.08,0.733,0.06616,2,0.04994,2.78,3,0,17,1,0.4284,0,0
MID01000123,1052,6300,Insurance,Pvt Ltd,Gujarat,1,0.9586,0,1,396692.58,3267,121.42,108.9,0.03548,233,0.03313,2.47,0,0,6,2,0.1861,2,1
MID01000124,623,5814,QSR & Food Delivery,Proprietorship,Tamil Nadu,1,0.697,0,1,18315.94,93,195.26,3.1,0.0057,0,0.03442,0.47,0,0,2,2,0.2144,0,1
MID01000125,386,5411,Grocery & Kirana,Proprietorship,Uttar Pradesh,1,0.6479,0,1,161730.97,371,435.04,12.367,0.01459,11,0.01857,1.48,0,0,1,1,0.312,1,0
MID01000126,1168,8211,Education,Partnership,Odisha,1,0.8908,1,1,183202.97,131,1393.66,4.367,0.0061,4,0.01085,1.02,0,0,5,1,0.3721,0,0
MID01000127,82,7995,Gambling (Prohibited),Pvt Ltd,Punjab,3,0.6815,1,1,8360.48,44,187.01,1.467,0.04439,3,0.02695,2.09,0,0,11,3,0.2546,0,0
MID01000128,142,5411,Grocery & Kirana,Pvt Ltd,Haryana,1,0.5784,1,1,31957.66,93,341.04,3.1,0.03009,6,0.04411,0.03,0,0,7,2,0.1809,0,0
MID01000129,107,7299,Personal Services,Pvt Ltd,Haryana,3,0.5655,1,1,29748.25,56,525.41,1.867,0.00338,0,0.00412,0.72,0,0,13,1,0.1734,0,1
MID01000130,183,5411,Grocery & Kirana,Proprietorship,Odisha,1,0.7979,1,1,474520.55,2152,220.43,71.733,0.00223,10,0.01896,0.0,0,0,1,1,0.1103,0,0
MID01000131,68,5411,Grocery & Kirana,Proprietorship,Delhi,1,0.7689,1,1,28476.29,78,361.97,2.6,0.01098,6,0.02208,0.74,0,0,11,3,0.0429,0,1
MID01000132,510,6300,Insurance,Partnership,Punjab,1,0.6247,1,1,7194249.88,74625,96.4,2487.5,0.02354,3271,0.01657,1.85,0,0,1,2,0.288,2,0
MID01000133,216,5499,FMCG Retail,Proprietorship,Karnataka,1,0.9285,1,1,150101.37,598,250.91,19.933,0.0146,24,0.01213,0.0,0,0,10,4,0.1606,0,0
MID01000134,62,5732,Electronics Retail,Partnership,Delhi,1,0.5968,1,0,71016.5,58,1220.98,1.933,0.00033,0,0.00541,0.44,0,0,0,1,0.2868,1,0
MID01000135,97,8211,Education,Public Ltd,Maharashtra,3,0.6819,1,0,92788.2,110,840.58,3.667,0.02003,5,0.03918,0.56,0,0,3,3,0.088,0,0
MID01000136,370,7995,Gambling (Prohibited),Partnership,Uttar Pradesh,3,0.48,1,1,3959.6,14,270.59,0.467,0.04862,3,0.04494,0.95,0,0,1,1,0.0856,1,1
MID01000137,625,5411,Grocery & Kirana,Partnership,Tamil Nadu,1,0.7852,1,1,308700.8,1904,162.1,63.467,0.00976,29,0.00591,0.81,0,0,13,1,0.138,2,1
MID01000138,1991,4121,Mobility & Ride-hailing,Partnership,Gujarat,1,0.593,0,1,15098.78,45,333.24,1.5,0.01111,1,0.03852,1.3,0,0,1,2,0.1842,1,0
MID01000139,4000,7011,Travel & Hospitality,Pvt Ltd,Tamil Nadu,1,0.8518,1,1,299725.39,2773,108.06,92.433,0.02418,112,0.01646,1.8,1,1,1,1,0.1788,2,1
MID01000140,409,5499,FMCG Retail,Proprietorship,Maharashtra,2,0.5928,0,1,22390.06,66,337.95,2.2,0.00471,0,0.01749,0.0,0,0,3,1,0.2731,0,1
MID01000141,100,5967,Adult Content (Restricted),Proprietorship,West Bengal,1,0.3836,1,1,17226.77,61,278.93,2.033,0.06475,6,0.06159,3.52,0,0,11,1,0.1714,1,1
MID01000142,32,4814,Telecom & Recharge,Proprietorship,Uttar Pradesh,1,0.8381,1,1,420605.21,1558,269.9,51.933,0.00216,12,0.00372,1.01,0,0,3,1,0.3584,0,1
MID01000143,353,5411,Grocery & Kirana,Partnership,Uttar Pradesh,3,0.7255,1,1,32202.97,90,355.3,3.0,0.02035,2,0.03748,1.43,0,0,1,2,0.1326,0,0
MID01000144,119,5812,Food & Restaurants,Proprietorship,Gujarat,3,0.8543,1,1,4147.15,6,654.0,0.2,0.00873,0,0.00992,0.9,0,1,2,2,0.1003,1,1
MID01000145,178,7299,Personal Services,Proprietorship,Uttar Pradesh,2,0.6991,1,1,147929.34,933,158.42,31.1,0.0073,11,0.03593,2.09,0,0,6,1,0.0681,0,1
MID01000146,146,6051,Crypto / Quasi-cash,Pvt Ltd,Maharashtra,1,0.3052,1,1,10583.05,11,955.17,0.367,0.06624,1,0.04518,2.98,1,0,1,1,0.2867,2,1
MID01000147,234,5411,Grocery & Kirana,Proprietorship,West Bengal,1,0.7409,0,1,329036.13,296,1110.68,9.867,0.01162,4,0.01066,2.33,0,0,0,2,0.303,1,0
